MCode,Cohort,AcademicYearStart,Women3,Men3,Cap,institution,Students3
CSE1300,1,2021,132,384,,Kennesaw_USA,516
IT4843,1,2022,27,81,,Kennesaw_USA,108
IT3703,1,2022,3,12,,Kennesaw_USA,15
IT4153,1,2021,12,33,,Kennesaw_USA,45
IT4673,1,2022,6,21,,Kennesaw_USA,27
CSE1300,1,2020,111,342,,Kennesaw_USA,453
IT4713,1,2021,9,30,,Kennesaw_USA,39
CYBR4843,1,2021,18,60,,Kennesaw_USA,78
CYBR3223,1,2021,6,15,,Kennesaw_USA,21
SWE4633,1,2021,9,33,,Kennesaw_USA,42
CYBR4893,1,2022,12,42,,Kennesaw_USA,54
IT4853,1,2022,12,42,,Kennesaw_USA,54
CYBR3153,1,2020,15,54,,Kennesaw_USA,69
CS4622,1,2020,3,9,,Kennesaw_USA,12
CYBR3223,1,2022,9,27,,Kennesaw_USA,36
CSE3203,1,2021,6,18,,Kennesaw_USA,24
CYBR3223,1,2020,6,18,,Kennesaw_USA,24
CYBR4883,1,2022,6,18,,Kennesaw_USA,24
IT4833,1,2020,24,84,,Kennesaw_USA,108
CYBR4853,1,2021,9,30,,Kennesaw_USA,39
IT4713,1,2020,12,45,,Kennesaw_USA,57
IT4853,1,2020,24,87,,Kennesaw_USA,111
CGDD4113,1,2022,3,15,,Kennesaw_USA,18
IT4893,1,2022,3,15,,Kennesaw_USA,18
CS4720,1,2021,9,33,,Kennesaw_USA,42
IT4853,1,2021,27,96,,Kennesaw_USA,123
CS4622,1,2022,6,24,,Kennesaw_USA,30
SWE4783,1,2020,12,48,,Kennesaw_USA,60
IT4403,1,2022,3,15,,Kennesaw_USA,18
IT4423,1,2022,3,15,,Kennesaw_USA,18
IT4843,1,2021,21,75,,Kennesaw_USA,96
CSE4983,1,2022,9,33,,Kennesaw_USA,42
CYBR4833,1,2022,15,54,,Kennesaw_USA,69
IT4833,1,2022,15,60,,Kennesaw_USA,75
IT4423,1,2020,45,168,,Kennesaw_USA,213
CYBR4853,1,2020,15,54,,Kennesaw_USA,69
CGDD2012L,1,2022,24,99,,Kennesaw_USA,123
CS4422,1,2021,3,12,,Kennesaw_USA,15
IT4423,1,2021,24,96,,Kennesaw_USA,120
IT4843,1,2020,24,99,,Kennesaw_USA,123
IT4153,1,2022,6,21,,Kennesaw_USA,27
CGDD4603,1,2021,3,18,,Kennesaw_USA,21
CS3626,1,2021,21,84,,Kennesaw_USA,105
IT4863,1,2021,3,18,,Kennesaw_USA,21
CS4265,1,2022,6,30,,Kennesaw_USA,36
IT4883,1,2020,15,60,,Kennesaw_USA,75
CYBR4333,1,2022,9,42,,Kennesaw_USA,51
CYBR4843,1,2022,12,57,,Kennesaw_USA,69
CGDD4113,1,2020,6,27,,Kennesaw_USA,33
CS4720,1,2020,39,174,,Kennesaw_USA,213
IT4123,1,2020,36,153,,Kennesaw_USA,189
CS4265,1,2020,9,36,,Kennesaw_USA,45
CYBR4350,1,2020,3,18,,Kennesaw_USA,21
CGDD4603,1,2022,3,15,,Kennesaw_USA,18
CS4626,1,2022,3,15,,Kennesaw_USA,18
CS4732,1,2020,3,15,,Kennesaw_USA,18
