,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"popularity_module_non_topic_women[2, 16]",41.031,297.579,-540.423,594.7,39.791,28.284,56.0,130.0,1.08
"popularity_module_non_topic_women[2, 17]",-10.929,260.994,-516.285,460.833,21.663,15.349,146.0,380.0,1.03
"popularity_module_non_topic_women[2, 18]",-12.281,315.985,-609.043,577.47,33.637,23.864,89.0,161.0,1.04
"popularity_module_non_topic_women[2, 19]",7.925,295.762,-530.875,560.027,27.823,19.725,114.0,213.0,1.03
"popularity_module_non_topic_women[3, 0]",395.656,154.209,109.885,699.648,28.342,20.242,30.0,89.0,1.1
"popularity_module_non_topic_women[3, 1]",117.081,179.958,-236.437,449.008,20.705,14.698,76.0,176.0,1.05
"popularity_module_non_topic_women[3, 2]",-665.76,165.839,-987.264,-362.125,17.535,12.44,90.0,175.0,1.06
"popularity_module_non_topic_women[3, 3]",-58.442,163.707,-354.159,255.02,23.522,16.734,46.0,180.0,1.08
"popularity_module_non_topic_women[3, 4]",87.965,165.634,-226.695,394.797,18.33,13.008,83.0,121.0,1.03
"popularity_module_non_topic_women[3, 5]",222.491,146.684,-54.925,499.915,21.086,15.001,48.0,81.0,1.1
"popularity_module_non_topic_women[3, 6]",-42.344,288.079,-600.87,507.864,38.153,27.117,57.0,147.0,1.07
"popularity_module_non_topic_women[3, 7]",-41.733,274.079,-518.832,485.864,25.636,18.174,114.0,218.0,1.04
"popularity_module_non_topic_women[3, 8]",18.316,293.086,-527.718,598.396,32.522,23.08,81.0,99.0,1.04
"popularity_module_non_topic_women[3, 9]",5.846,288.914,-542.424,533.151,25.081,17.774,133.0,240.0,1.02
"popularity_module_non_topic_women[3, 10]",28.933,286.859,-495.988,585.688,35.298,25.071,64.0,270.0,1.07
"popularity_module_non_topic_women[3, 11]",-4.231,316.467,-599.236,612.517,35.348,25.086,81.0,174.0,1.06
"popularity_module_non_topic_women[3, 12]",-7.026,292.272,-546.465,531.414,27.547,19.529,115.0,308.0,1.03
"popularity_module_non_topic_women[3, 13]",55.136,296.495,-497.493,592.082,33.379,23.69,80.0,272.0,1.04
"popularity_module_non_topic_women[3, 14]",58.5,270.633,-430.509,595.915,24.353,17.261,125.0,246.0,1.04
"popularity_module_non_topic_women[3, 15]",-75.707,305.08,-625.717,503.039,35.477,25.186,75.0,242.0,1.03
"popularity_module_non_topic_women[3, 16]",-14.88,296.42,-517.104,586.752,29.122,20.651,107.0,182.0,1.04
"popularity_module_non_topic_women[3, 17]",-16.618,279.204,-526.976,541.776,27.207,19.292,107.0,174.0,1.03
"popularity_module_non_topic_women[3, 18]",38.146,296.098,-499.151,591.212,32.314,22.929,84.0,200.0,1.03
"popularity_module_non_topic_women[3, 19]",-19.184,276.205,-508.668,545.953,30.939,21.958,80.0,145.0,1.07
"popularity_module_non_topic_women[4, 0]",169.135,162.156,-141.583,484.931,16.829,11.937,94.0,153.0,1.04
"popularity_module_non_topic_women[4, 1]",-120.413,182.939,-478.097,191.018,31.723,22.632,33.0,210.0,1.11
"popularity_module_non_topic_women[4, 2]",-424.457,172.726,-741.558,-90.345,41.909,30.159,17.0,217.0,1.19
"popularity_module_non_topic_women[4, 3]",253.03,175.816,-69.803,596.748,21.493,15.265,67.0,267.0,1.05
"popularity_module_non_topic_women[4, 4]",416.947,147.589,132.837,677.572,29.02,20.756,27.0,194.0,1.14
"popularity_module_non_topic_women[4, 5]",-376.157,205.504,-783.73,-9.17,54.541,39.388,14.0,119.0,1.23
"popularity_module_non_topic_women[4, 6]",-92.686,164.985,-387.88,217.027,20.18,14.332,67.0,210.0,1.07
"popularity_module_non_topic_women[4, 7]",255.375,150.972,-52.491,525.098,31.328,22.437,24.0,98.0,1.13
"popularity_module_non_topic_women[4, 8]",-8.022,305.584,-604.677,552.044,29.672,21.039,107.0,211.0,1.03
"popularity_module_non_topic_women[4, 9]",31.242,284.961,-495.896,578.098,25.403,18.004,126.0,207.0,1.02
"popularity_module_non_topic_women[4, 10]",-21.52,284.187,-526.178,534.697,43.534,30.997,42.0,212.0,1.09
"popularity_module_non_topic_women[4, 11]",-34.156,323.812,-634.291,570.722,36.183,25.679,81.0,225.0,1.04
"popularity_module_non_topic_women[4, 12]",17.469,301.517,-520.036,588.803,31.796,22.557,90.0,214.0,1.04
"popularity_module_non_topic_women[4, 13]",47.053,292.456,-509.835,579.781,38.359,27.261,59.0,148.0,1.06
"popularity_module_non_topic_women[4, 14]",-21.545,305.539,-550.983,555.239,29.57,21.285,108.0,159.0,1.02
"popularity_module_non_topic_women[4, 15]",-14.74,288.257,-545.934,534.186,35.957,25.542,66.0,116.0,1.03
"popularity_module_non_topic_women[4, 16]",11.101,286.77,-545.727,527.505,33.333,23.663,79.0,78.0,1.05
"popularity_module_non_topic_women[4, 17]",-29.433,277.224,-565.297,477.183,23.325,16.528,142.0,312.0,1.03
"popularity_module_non_topic_women[4, 18]",-37.671,289.543,-560.58,508.158,38.506,27.37,57.0,203.0,1.07
"popularity_module_non_topic_women[4, 19]",45.058,286.819,-484.626,596.802,31.214,22.149,85.0,238.0,1.04
"popularity_module_non_topic_women[5, 0]",150.147,141.87,-116.874,404.607,15.075,10.695,88.0,311.0,1.04
"popularity_module_non_topic_women[5, 1]",-111.63,138.713,-365.824,153.393,15.339,10.885,82.0,266.0,1.04
"popularity_module_non_topic_women[5, 2]",131.45,144.928,-146.939,415.091,13.448,9.533,119.0,152.0,1.04
"popularity_module_non_topic_women[5, 3]",73.33,186.641,-283.652,409.895,17.821,12.635,106.0,290.0,1.02
"popularity_module_non_topic_women[5, 4]",9.073,157.583,-282.894,306.98,16.122,11.435,95.0,214.0,1.03
"popularity_module_non_topic_women[5, 5]",-95.077,198.292,-474.401,279.924,20.128,14.276,98.0,180.0,1.04
"popularity_module_non_topic_women[5, 6]",-103.428,235.748,-557.58,316.575,21.242,15.056,125.0,324.0,1.04
"popularity_module_non_topic_women[5, 7]",-236.407,183.662,-583.88,110.478,17.307,12.27,112.0,316.0,1.04
"popularity_module_non_topic_women[5, 8]",-130.397,258.834,-606.492,332.585,27.676,19.635,89.0,258.0,1.05
"popularity_module_non_topic_women[5, 9]",-12.266,184.709,-372.127,335.983,20.543,14.579,81.0,169.0,1.02
"popularity_module_non_topic_women[5, 10]",-130.282,230.682,-573.206,269.471,25.704,18.241,79.0,190.0,1.06
"popularity_module_non_topic_women[5, 11]",84.677,179.898,-224.095,438.327,21.061,16.933,75.0,195.0,1.07
"popularity_module_non_topic_women[5, 12]",-40.907,213.299,-445.613,357.652,27.372,19.448,62.0,194.0,1.07
"popularity_module_non_topic_women[5, 13]",87.489,150.314,-184.151,382.166,15.04,10.666,100.0,213.0,1.05
"popularity_module_non_topic_women[5, 14]",-83.732,112.99,-299.603,124.138,11.175,7.925,102.0,295.0,1.03
"popularity_module_non_topic_women[5, 15]",139.679,177.949,-183.008,482.735,22.331,15.863,64.0,210.0,1.04
"popularity_module_non_topic_women[5, 16]",224.808,149.151,-51.829,498.213,17.819,12.653,70.0,191.0,1.04
"popularity_module_non_topic_women[5, 17]",72.107,278.919,-444.462,604.157,31.176,22.126,80.0,189.0,1.02
"popularity_module_non_topic_women[5, 18]",16.586,292.999,-509.289,566.966,32.541,23.094,83.0,168.0,1.05
"popularity_module_non_topic_women[5, 19]",42.468,276.109,-489.036,537.002,27.065,19.192,104.0,255.0,1.04
"popularity_module_non_topic_women[6, 0]",1.377,214.043,-434.622,366.209,24.987,17.739,75.0,111.0,1.07
"popularity_module_non_topic_women[6, 1]",387.787,222.884,-41.089,794.813,30.006,26.164,58.0,206.0,1.06
"popularity_module_non_topic_women[6, 2]",-423.701,201.823,-820.66,-48.761,25.343,18.003,64.0,154.0,1.04
"popularity_module_non_topic_women[6, 3]",27.761,281.153,-499.403,544.03,29.972,21.264,89.0,226.0,1.04
"popularity_module_non_topic_women[6, 4]",-8.119,288.195,-539.417,545.375,28.635,20.307,101.0,229.0,1.02
