,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"popularity_module_non_topic_women[0, 41]",108.447,124.496,-73.372,365.427,49.726,36.941,7.0,13.0,1.6
"popularity_module_non_topic_women[0, 42]",2.561,106.408,-176.027,193.483,47.544,35.797,5.0,21.0,2.14
"popularity_module_non_topic_women[0, 43]",-2.906,127.537,-205.676,236.492,57.148,43.045,5.0,12.0,2.12
"popularity_module_non_topic_women[0, 44]",-9.388,88.458,-191.761,136.006,33.676,24.898,7.0,11.0,1.58
"popularity_module_non_topic_women[0, 45]",-43.78,114.039,-251.705,127.917,49.761,37.35,6.0,13.0,1.95
"popularity_module_non_topic_women[0, 46]",-28.206,142.23,-211.669,320.609,62.323,46.803,8.0,11.0,1.42
"popularity_module_non_topic_women[0, 47]",-30.683,119.026,-258.563,179.039,54.277,40.983,5.0,15.0,2.34
"popularity_module_non_topic_women[0, 48]",57.446,68.642,-77.929,176.623,26.277,19.438,7.0,17.0,1.6
"popularity_module_non_topic_women[0, 49]",-50.126,124.237,-241.151,130.281,56.983,43.061,5.0,22.0,2.09
"popularity_module_non_topic_women[0, 50]",-64.72,121.041,-245.97,150.806,52.919,39.73,6.0,33.0,1.71
"popularity_module_non_topic_women[0, 51]",68.309,90.391,-77.184,229.776,33.088,24.377,8.0,44.0,1.44
"popularity_module_non_topic_women[0, 52]",-20.964,101.749,-244.485,138.073,44.582,33.48,5.0,12.0,2.06
"popularity_module_non_topic_women[0, 53]",119.014,90.718,-67.268,260.478,34.711,25.676,7.0,15.0,1.59
"popularity_module_non_topic_women[1, 0]",139.745,67.817,17.123,276.143,25.457,18.797,7.0,18.0,1.54
"popularity_module_non_topic_women[1, 1]",-176.624,337.534,-659.93,292.156,165.421,126.311,5.0,12.0,3.28
"popularity_module_non_topic_women[1, 2]",-10.578,140.359,-309.801,152.243,64.37,48.644,7.0,19.0,1.63
"popularity_module_non_topic_women[1, 3]",-51.065,43.823,-135.466,24.753,7.968,5.689,30.0,60.0,1.09
"popularity_module_non_topic_women[1, 4]",-64.279,62.288,-177.465,48.814,15.036,10.818,17.0,28.0,1.18
"popularity_module_non_topic_women[1, 5]",15.09,144.248,-239.074,197.092,68.142,51.722,6.0,24.0,1.86
"popularity_module_non_topic_women[1, 6]",107.71,65.502,-15.758,220.987,22.044,16.248,9.0,37.0,1.38
"popularity_module_non_topic_women[1, 7]",22.989,50.855,-74.571,115.05,17.713,12.997,9.0,12.0,1.41
"popularity_module_non_topic_women[1, 8]",85.901,81.684,-68.587,238.602,34.947,26.165,6.0,18.0,1.94
"popularity_module_non_topic_women[1, 9]",-54.079,54.288,-151.28,41.87,18.471,13.529,9.0,40.0,1.44
"popularity_module_non_topic_women[1, 10]",374.093,137.147,77.781,599.893,50.893,40.029,7.0,20.0,1.6
"popularity_module_non_topic_women[1, 11]",-20.326,52.069,-121.964,81.065,15.366,11.154,11.0,31.0,1.28
"popularity_module_non_topic_women[1, 12]",-95.643,66.462,-208.384,56.04,26.312,19.529,7.0,18.0,1.59
"popularity_module_non_topic_women[1, 13]",-73.005,69.303,-187.902,45.052,27.161,20.138,7.0,24.0,1.59
"popularity_module_non_topic_women[1, 14]",7.297,65.1,-101.677,142.846,22.417,16.434,9.0,20.0,1.41
"popularity_module_non_topic_women[1, 15]",26.166,81.992,-151.708,143.531,26.95,19.691,10.0,23.0,1.35
"popularity_module_non_topic_women[1, 16]",-22.279,108.712,-212.26,174.92,47.648,35.784,5.0,18.0,2.05
"popularity_module_non_topic_women[1, 17]",1.472,131.22,-298.75,221.461,59.953,45.281,5.0,11.0,2.08
"popularity_module_non_topic_women[1, 18]",40.654,173.375,-217.189,377.463,80.275,60.747,5.0,19.0,2.34
"popularity_module_non_topic_women[1, 19]",-37.797,103.667,-180.824,214.775,41.561,30.888,7.0,13.0,1.64
"popularity_module_non_topic_women[1, 20]",-21.762,91.074,-195.821,115.899,39.455,29.587,6.0,25.0,1.88
"popularity_module_non_topic_women[1, 21]",-6.465,74.909,-117.553,178.231,20.251,16.615,17.0,12.0,1.21
"popularity_module_non_topic_women[1, 22]",30.936,114.839,-154.165,236.231,45.913,34.112,6.0,15.0,1.67
"popularity_module_non_topic_women[1, 23]",-94.681,107.513,-357.601,79.917,43.396,32.275,6.0,18.0,1.71
"popularity_module_non_topic_women[1, 24]",-20.27,96.201,-203.08,170.982,33.0,24.186,9.0,12.0,1.4
"popularity_module_non_topic_women[1, 25]",51.421,106.074,-134.088,219.243,41.478,30.747,7.0,13.0,1.67
"popularity_module_non_topic_women[1, 26]",-6.312,71.074,-135.987,143.022,16.558,11.899,18.0,24.0,1.16
"popularity_module_non_topic_women[1, 27]",77.943,118.884,-115.597,324.444,52.49,39.459,6.0,15.0,1.98
"popularity_module_non_topic_women[1, 28]",61.231,91.585,-99.98,247.221,34.67,25.62,8.0,14.0,1.5
"popularity_module_non_topic_women[1, 29]",-6.184,65.824,-106.653,112.334,20.308,14.778,13.0,114.0,1.26
"popularity_module_non_topic_women[1, 30]",-62.719,58.492,-170.196,31.529,18.289,13.32,10.0,37.0,1.31
"popularity_module_non_topic_women[1, 31]",5.206,60.937,-106.318,122.851,17.187,12.447,13.0,44.0,1.26
"popularity_module_non_topic_women[1, 32]",-22.636,112.321,-302.882,140.553,48.148,37.307,7.0,15.0,1.54
"popularity_module_non_topic_women[1, 33]",-78.883,141.781,-355.189,134.209,62.056,46.596,6.0,15.0,1.89
"popularity_module_non_topic_women[1, 34]",98.253,116.096,-77.045,338.859,47.169,35.106,6.0,21.0,1.74
"popularity_module_non_topic_women[1, 35]",-39.174,108.356,-211.393,177.942,49.306,37.218,5.0,14.0,2.33
"popularity_module_non_topic_women[1, 36]",32.382,99.555,-133.782,223.886,43.573,32.718,6.0,25.0,1.88
"popularity_module_non_topic_women[1, 37]",35.162,104.368,-116.503,288.067,47.751,36.072,5.0,14.0,2.22
"popularity_module_non_topic_women[1, 38]",-90.385,157.515,-359.398,192.586,66.889,50.036,6.0,13.0,1.94
"popularity_module_non_topic_women[1, 39]",29.631,95.701,-131.435,192.197,39.018,29.051,6.0,37.0,1.72
"popularity_module_non_topic_women[1, 40]",-39.002,91.167,-190.261,148.292,36.146,26.832,7.0,25.0,1.66
"popularity_module_non_topic_women[1, 41]",-12.579,84.032,-168.594,144.843,28.549,20.909,9.0,21.0,1.44
"popularity_module_non_topic_women[1, 42]",-6.706,125.394,-294.666,185.118,57.511,43.461,5.0,18.0,2.12
"popularity_module_non_topic_women[1, 43]",-32.98,129.821,-259.08,193.917,58.32,43.943,5.0,22.0,2.25
"popularity_module_non_topic_women[1, 44]",-31.256,108.132,-199.665,146.15,48.0,36.109,5.0,12.0,2.21
"popularity_module_non_topic_women[1, 45]",5.847,132.475,-260.12,168.487,58.687,44.137,7.0,28.0,1.51
"popularity_module_non_topic_women[1, 46]",-32.941,81.633,-184.151,102.585,27.198,19.891,9.0,11.0,1.38
"popularity_module_non_topic_women[1, 47]",19.006,100.561,-197.595,158.827,42.811,32.034,6.0,19.0,1.87
"popularity_module_non_topic_women[1, 48]",-52.835,108.353,-309.96,85.015,45.927,34.348,7.0,32.0,1.61
"popularity_module_non_topic_women[1, 49]",20.953,56.16,-76.787,129.125,15.59,11.281,13.0,23.0,1.23
"popularity_module_non_topic_women[1, 50]",44.51,125.062,-126.648,284.276,55.374,41.642,6.0,30.0,1.75
"popularity_module_non_topic_women[1, 51]",-38.262,109.458,-278.135,109.917,48.265,36.276,6.0,15.0,1.87
