elective,title,Women3_x,Men3_x,Women3_y,Men3_y,Students3_x
CS4784,Human-Computer Interaction Capstone,54.0,81.0,708.0,3378.0,135.0
CS4804,Introduction to Artificial Intelligence,12.0,159.0,708.0,3378.0,171.0
CSC301H5,Introduction to Software Engineering,33.0,267.0,234.0,1302.0,300.0
CSC309H5,Programming on the Web,51.0,390.0,234.0,1302.0,441.0
CSC311H5,Introduction to Machine Learning,78.0,441.0,234.0,1302.0,519.0
CSC324H5,Principles of Programming Languages,75.0,375.0,234.0,1302.0,450.0
CSC338H5,Numerical Methods,30.0,120.0,234.0,1302.0,150.0
CSC347H5,Introduction to Information Security,57.0,372.0,234.0,1302.0,429.0
CSC367H5,Parallel Programming,15.0,153.0,234.0,1302.0,168.0
CSC375H5,Algorithmic Intelligence in Robotics,0.0,21.0,150.0,813.0,21.0
CSC376H5,Fundamentals of Robotics,12.0,96.0,234.0,1302.0,108.0
CSC384H5,Introduction to Artificial Intelligence,27.0,165.0,234.0,1302.0,192.0
CSC413H5,Neural Networks and Deep Learning,30.0,171.0,39.0,222.0,201.0
CSC488H5,Compilers and Interpreters,6.0,60.0,24.0,150.0,66.0
CSE1300,Introduction to Computing Principles,363.0,999.0,1257.0,4365.0,1362.0
CSE3203,Overview of Mobile Systems,12.0,48.0,849.0,3054.0,60.0
CSE4983,CSE Computing Internship,39.0,108.0,1257.0,4365.0,147.0
CYBR3153,Database Systems,39.0,147.0,1257.0,4365.0,186.0
CYBR3220,Global IS Project Management,0.0,6.0,846.0,2796.0,6.0
CYBR3223,Software Acquisition and Project Management,21.0,60.0,1257.0,4365.0,81.0
CYBR3305,Technology and Criminal Justice,57.0,117.0,1257.0,4365.0,174.0
CYBR4305,,39.0,90.0,1257.0,4365.0,129.0
CYBR4333,Network Configuration & Administration,21.0,111.0,1257.0,4365.0,132.0
CYBR4350,Management of Digital Forensics and eDiscovery,24.0,60.0,1257.0,4365.0,84.0
CYBR4700,,0.0,3.0,411.0,1569.0,3.0
CYBR4833,Wireless Security,27.0,114.0,1257.0,4365.0,141.0
CYBR4843,Ethical Hacking for Effective Defense,42.0,150.0,1257.0,4365.0,192.0
CYBR4853,Computer Forensics,45.0,141.0,1257.0,4365.0,186.0
CYBR4883,Infrastructure Defense,6.0,45.0,1257.0,4365.0,51.0
CYBR4893,Internet of Things: Applications and Security,27.0,102.0,1257.0,4365.0,129.0
IT3503,Foundations of Health Information Technology,84.0,111.0,1257.0,4365.0,195.0
IT3703,Introduction to Data Analytics and Technology,24.0,42.0,1257.0,4365.0,66.0
IT4123,Electronic Commerce,36.0,153.0,411.0,1569.0,189.0
IT4153,Advanced Database,24.0,102.0,1257.0,4365.0,126.0
IT4203,Advanced Web Development,18.0,51.0,849.0,3054.0,69.0
IT4213,Mobile Web Development,3.0,21.0,411.0,1569.0,24.0
IT4333,Network Configuration & Administration,21.0,141.0,1257.0,4365.0,162.0
IT4403,Advanced Web and Mobile Applications,6.0,42.0,1257.0,4365.0,48.0
IT4423,Linux/Unix Administration,72.0,279.0,1257.0,4365.0,351.0
IT4513,Electronic Health Record Systems & Applications,6.0,6.0,411.0,1569.0,12.0
IT4523,Clinical Processes and Workflows: Analysis and Redesign,6.0,6.0,411.0,1569.0,12.0
IT4533,Health information Security and Privacy,6.0,3.0,411.0,1569.0,9.0
IT4603,Introduction to Blockchain Technologies,3.0,6.0,438.0,1485.0,9.0
IT4673,,18.0,75.0,1257.0,4365.0,93.0
IT4713,,27.0,81.0,1257.0,4365.0,108.0
IT4733,Big Data System Administration,12.0,6.0,819.0,2880.0,18.0
IT4773,Machine Learning for Enterprise Applications,9.0,6.0,846.0,2796.0,15.0
IT4793,Applied Data Driven Solutions,3.0,0.0,438.0,1485.0,3.0
IT4833,Wireless Security,48.0,201.0,1257.0,4365.0,249.0
IT4843,Ethical Hacking for Effective Defense,72.0,255.0,1257.0,4365.0,327.0
IT4853,Computer Forensics,63.0,225.0,1257.0,4365.0,288.0
IT4863,Web and Mobile Application Security,12.0,36.0,846.0,2796.0,48.0
IT4883,Infrastructure Defense,39.0,177.0,1257.0,4365.0,216.0
IT4893,Internet of Things: Applications and Security,12.0,33.0,1257.0,4365.0,45.0
